"Timestamp",Temperature
9/1/2026 23:44:00,5.1
9/1/2026 23:44:30,4
9/1/2026 23:45:00,5
9/1/2026 23:45:30,5
9/1/2026 23:46:00,5.6
9/1/2026 23:46:30,5.6
9/1/2026 23:47:00,5.6
9/1/2026 23:47:30,5.6
9/1/2026 23:48:00,5
9/1/2026 23:48:30,6
9/1/2026 23:49:00,6
9/1/2026 23:49:30,6
9/1/2026 23:50:00,6
9/1/2026 23:50:30,6
9/1/2026 23:51:00,6
9/1/2026 23:51:30,6
9/1/2026 23:52:00,6
9/1/2026 23:52:30,6
9/1/2026 23:53:00,6
9/1/2026 23:53:30,6
9/1/2026 23:54:00,6
9/1/2026 23:54:30,6
9/1/2026 23:55:00,6.1
9/1/2026 23:55:30,6.1
9/1/2026 23:56:00,6.1
9/1/2026 23:56:30,6.1
9/1/2026 23:57:00,6.1
9/1/2026 23:57:30,6.1
9/1/2026 23:58:00,6.1
9/1/2026 23:58:30,6.1
9/1/2026 23:59:00,6.1
9/1/2026 23:59:30,6.1
